Kingdom,Division,Group_Name,Family,Botanical_Name,Naturalisation_Status,NCA_Status,Burke,Burnett,Cook,Darling_Downs,Gregory_North,Gregory_South,Leichhardt,Maranoa,Mitchell,Moreton,North_Kennedy,Port_Curtis,South_Kennedy,Warrego,Wide_Bay,Queensland,ACT,NSW,NT,SA,TAS,VIC,WA,Australia,NG,Africa,America,Antarctica,Asia,NZ,Europe,Malesia,Melanesia,Pacific_islands,Notes
Plantae,Streptophyta,Pteridophytes,Aspleniaceae,Asplenium wildii F.M.Bailey,Native to QLD,Vulnerable,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Alismataceae,Astonia australiensis (Aston) S.W.L.Jacobs,Native to QLD,Endangered,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Araliaceae,Astrotricha roddii Makinson,Native to QLD,Endangered,,,,2,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Sapindaceae,Atalaya collina S.T.Reynolds,Native to QLD,Endangered,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Chenopodiaceae,Atriplex morrisii R.H.Anderson,Native to QLD,Vulnerable,,,,,,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Picrodendraceae,Austrobuxus megacarpus P.I.Forst.,Native to QLD,Near threatened,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Proteaceae,Austromuellera trinervia C.T.White,Native to QLD,Near threatened,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Proteaceae,Austromuellera valida B.Hyland,Native to QLD,Vulnerable,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Myrtaceae,Backhousia oligantha A.R.Bean,Native to QLD,Endangered,,,,,,,,,,,,3,,,9,,,,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Myrtaceae,Baeckea trapeza A.R.Bean,Native to QLD,Vulnerable,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Euphorbiaceae,Baloghia marmorata C.T.White,Native to QLD,Vulnerable,,,,,,,,,,23,,,,,3,,,4,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Proteaceae,Banksia conferta A.S.George,Native to QLD,Vulnerable,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Proteaceae,Banksia plagiocarpa A.S.George,Native to QLD,Vulnerable,,,,,,,,,,,12,,,,,,,,,,,,,1,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Myrtaceae,Barongia lophandra Peter G.Wilson & B.Hyland,Native to QLD,Vulnerable,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Lauraceae,Beilschmiedia castrisinensis B.Hyland,Native to QLD,Near threatened,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Brownlowiaceae,Berrya rotundifolia Domin,Native to QLD,Vulnerable,,,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Euphorbiaceae,Bertya calycina Halford & R.J.F.Hend.,Native to QLD,Vulnerable,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Euphorbiaceae,Bertya ernestiana Halford & R.J.F.Hend.,Native to QLD,Vulnerable,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Euphorbiaceae,Bertya glandulosa Gruening,Native to QLD,Vulnerable,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantae,Streptophyta,Angiosperms,Euphorbiaceae,Bertya granitica Halford & R.J.F.Hend.,Native to QLD,Endangered,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
